authors,article-title,doi,journal
Andrés Rosende|César A. Romero|Donald J. DiPette|Jeffrey Brettler|Patrick Van der Stuyft|Gautam Satheesh|Pablo Perel|Niamh Chapman|Andrew E. Moran|Aletta E. Schutte|James E. Sharman|Vilma Irazola|Mark D. Huffman|Norm R.C. Campbell|Abdul Salam|Fernando Laņas|António Coca|Sebastián García-Zamora|Alejandro Ferreiro|Patricio López‐Jaramillo|Jorge Rico-Fontalvo|Emily Ridley|Dean S. Picone|David Flood|Daniel Piñeiro|Carolina Neira|Gonzalo Rodríguez|Irmgardt Alicia Wellmann|Marcelo Orías|Marcela Rivera|Minerva Jiménez Reyes|Oyere K. Onuma|Shaun Ramroop|Taskeen Khan|Yamilé Valdés-González|Weimar Kunz Sebba Barroso|Frida Liane Plavnik|Eric Zúñiga|Ana María Grassani|Carlos Tajer|Ezequiel Zaidel|Marcos J. Marín|Shana Cyr-Philbert|Ignacio Amorín|María Del Mar Lucena Aguilera|Luiz Aparecido Bortolotto|Álvaro Avezum|Antônio Luiz Pinho Ribeiro|Sheldon W. Tobe|Teresa Aumala|Sonia Y. Angell|Pablo M. Lavados|Sheila Cristina Ouriques Martins|Ana G Múnera|Marc G. Jaffe|Dorairaj Prabhakaran|Gianfranco Parati|Xin Hua Zhang|Anthony Rodgers|Salim Yusuf|Paul K. Whelton|Pedro Ordúñez,Candidate Interventions for Integrating Hypertension and Cardiovascular-Kidney-Metabolic Care in Primary Health Settings: HEARTS 2.0 Phase 1,https://doi.org/10.5334/gh.1428,Global Heart
Michael R. Fettiplace|Anuj Bhatia|Yian Chen|Steven L. Orebaugh|Michael Gofeld|Rodney A. Gabriel|Daniel I. Sessler|Hannah Lonsdale|Brittani Bungart|Christopher Cheng|Garrett W. Burnett|Lichy Han|M. D. Wiles|Steve Coppens|Thomas T. Joseph|Kristin L. Schreiber|Thomas Volk|Richard D. Urman|Vesela Kovacheva|Christopher L. Wu|Edward R. Mariano|Vivian Ip,Recommendations for disclosure of artificial intelligence in scientific writing and publishing: a regional anesthesia and pain medicine modified Delphi study,https://doi.org/10.1136/rapm-2025-106852,Regional Anesthesia & Pain Medicine
R. W. Martell|Maurianne Reade|Lisa Boesch|D. Kaur|Sandeep Kumar|Michael McArthur|Marion Maar,"The role of narratives in promoting vaccine confidence among Indigenous peoples in Canada, the United States, Australia, and New Zealand: a scoping review",https://doi.org/10.1186/s12939-025-02424-3,International Journal for Equity in Health
Gaël Cagnone|Sheetal Pundir|Charlotte Betus|Tapan Agnihotri|Anli Ren|Jin Sung Kim|Noémie-Rose Harvey|Émilie Heckel|Mei Xi Chen|Anu Situ|Perrine Gaub|Nicholas Kim|Ashim Das|Séverine Leclerc|Florian Wünnemann|Louis Berillon|Grégor Andelfinger|Sergio Crespo‐Garcia|Alexandre Dubrac|Flávio Rezende|Clary B. Clish|Bruno Maranda|José Carlos Rivera|Lois E. H. Smith|Przemysław Sapieha|Jean-Sébastien Joyal,Metabolic reprogramming of the neovascular niche promotes regenerative angiogenesis in proliferative retinopathy,https://doi.org/10.1038/s41467-025-60061-4,Nature Communications
Neda Rashidi‐Ranjbar|Nathan W. Churchill|Sandra E. Black|Sanjeev Kumar|Maria Carmela Tartaglia|Morris Freedman|Anthony E. Lang|Joel Ramírez‐Emiliano|Gustavo Saposnik|Paula McLaughlin|Sean Symons|Bruce G. Pollock|Tarek K. Rajji|Michael Borrie|Mario Masellis|Stephen Pasternak|Andrew Frank|Dallas Seitz|Zahinoor Ismail|David F. Tang‐Wai|Christopher J.M. Scott|Dar Dowlatshahi|Ayman Hassan|David G. Munoz|Luis Fornazzari|Corinne E. Fischer|Tom A. Schweizer,"A Cross Sectional and Longitudinal Assessment of Neuropsychiatric Symptoms and Brain Functional Connectivity in Patients With Mild Cognitive Impairment, Cerebrovascular Disease and Parkinson Disease",https://doi.org/10.1002/gps.70075,International Journal of Geriatric Psychiatry
Vishaal Sumra|Mohsen Hadian|Allison A. Dilliott|Sali M.K. Farhan|Andrew Frank|Anthony E. Lang|Angela Roberts|Angela K. Troyer|Stephen R. Arnott|Connie Marras|David F. Tang‐Wai|Elizabeth Finger|Ekaterina Rogaeva|J. B. Orange|Joel Ramírez‐Emiliano|Lorne Zinman|Malcolm A. Binns|Michael Borrie|Morris Freedman|Miracle Ozzoude|Robert Bartha|Richard H. Swartz|David G. Muñoz|Mario Masellis|Sandra E. Black|Roger A. Dixon|Dar Dowlatshahi|David A. Grimes|Ayman Hassan|Robert A. Hegele|Sanjeev Kumar|Stephen Pasternak|Bruce G. Pollock|Tarek K. Rajji|Demetrios J. Sahlas|Gustavo Saposnik|Maria Carmela Tartaglia|the ONDRI Investigators,Regional free-water diffusion is more strongly related to neuroinflammation than neurodegeneration,https://doi.org/10.1007/s00415-025-13201-1,Journal of Neurology
Keyur Vora|Ankur Kalra|Chirag Shah|Kinjal Bhatt|Andreas Kumar|Tejas Pandya|Vishal Poptani|Shing Fai Chan|Dhirendra Pratap Singh|Nithya Jambunathan|Ramesh Subramanian|Khalid Youssef|Saravanan Kanakasabai|Robert Finney|Ankit A. Desai|Rolf P. Kreutz|Richard J. Kovacs|Subha V. Raman|Deepak L. Bhatt|Rohan Dharmakumar,In-Hospital Mortality in Hemorrhagic Myocardial Infarction,https://doi.org/10.1056/evidoa2400294,NEJM Evidence
Mohamed H. Taha|Mohamed Elhassan Abdalla|Erin Cameron|Shafik Dharamsi|Roger Strasser|David Taylor|Lionel Green‐Thompson,Leadership as a catalyst for advancing social accountability in health professions education: AMEE Guide No. 187,https://doi.org/10.1080/0142159x.2025.2534074,Medical Teacher
Valeria Mercadante|Derek K. Smith|Ragda Abdalla‐Aslan|Ana Andabak Rogulj|Michael T. Brennan|Graziella Chagas Jaguar|Haley Clark|Eduardo Rodrigues Fregnani|Luiz Alcino Gueiros|Allan Hovan|Seema Kurup|Alexa M. G. A. Laheij|Charlotte Duch Lynggaard|Joel J. Napeñas|Douglas E. Peterson|Sharon Elad|Stephanie J. M. van Leeuwen|Arjan Vissink|Jonn Wu|Deborah Saunders|Siri Beier Jensen,A systematic review of salivary gland hypofunction and/or xerostomia induced by non-surgical cancer therapies: prevention strategies,https://doi.org/10.1007/s00520-024-09113-x,Supportive Care in Cancer
Hance Clarke|Anna Waisman|Andrea Aternali|Kristina Axenova|Amjaad Almohawis|Kathryn Curtis|Joseph Fiorellino|Michelle Flynn|Praveen Ganty|Alexander Huang|Ziyang Hong|Rita Katznelson|Yuvaraj Kotteeswaran|Salima Ladak|Karim S. Ladha|Anna M. Lomanowska|Heather Lumsden-Ruegg|Ahmad Mahamid|Molly McCarthy|Sarah Miles|Judith Nicholls|M. Gabrielle Pagé|Miki Peer|Brittany N. Rosenbloom|Daniel Santa Mina|Rachel Siegal|P. Maxwell Slepian|Ainsley M. Sutherland|Diana Tamir|Leeping Tao|Paul S. Tumber|Jeffrey S. Wieskopf|Callon M. Williams|Elizabeth Woodford|Joel Katz,Ten years of transitional pain service research and practice: where are we and where do we go from here?,https://doi.org/10.1136/rapm-2024-105609,Regional Anesthesia & Pain Medicine
Sarah Rotz|Daniel Rück|Joseph LeBlanc,Farming the North: Cycles of Extraction and Dispossession,https://doi.org/10.1111/anti.13128,Antipode
Elliot Tissot van Patot|Danielle Carole Roy|Elger Baraku|Kashyap Patel|Sarah McIsaac|Ravinder Singh|Daniel Lelli|Darren Tse|Peter Johns|Krishan Yadav|David W. Savage|Jeffrey J. Perry|Robert Ohle,Validation of the <scp>Sudbury Vertigo Risk Score</scp> to risk stratify for a serious cause of vertigo,https://doi.org/10.1111/acem.70017,Academic Emergency Medicine
Ahmed Bilgasem|Prushoth Vivekanantha|Lauren Gyemi|Zackariyah Hassan|David Slawaska‐Eng|Amit Meena|Shahbaz S. Malik|Darren de,"Large variability in minimal clinically important difference, substantial clinical benefit and patient acceptable symptom state values among literature investigating patellar stabilization surgery: A systematic review",https://doi.org/10.1002/ksa.12684,Knee Surgery Sports Traumatology Arthroscopy
Kristen A. Morin|Mark Tatangelo|Shreedhar Acharya|David C. Marsh,"Cohort profile: the provincial opioid agonist treatment cohort in Ontario, Canada",https://doi.org/10.1007/s10654-025-01202-3,European Journal of Epidemiology
Matthew Skarsgard|Alysa Almojuela|Martín Gagliardi|Ganesh Swamy|Fred Nicholls|W Bradley Jacobs|Kenneth Thomas|Alex Soroceanu|Denise Eckenswiller|Elias Soumbasis|Rob Tanguay|Nathan Evaniew,Interventions to Modify Psychological Processes in Patients Undergoing Spine Surgery: A Systematic Review,https://doi.org/10.1177/21925682251318958,Global Spine Journal
Mai‐Lei Woo Kinshella|Jean M. Uasike Allen|Jasmine Pawa|Jesse Papenburg|Radha Jetty|Rachel Dwilow|Joanne Embreé|Joan Robinson|Laura Arbour|Manish Sadarangani|Ye Shen|Jeffrey N. Bone|Celia G. Walker|Iryna Kayda|Holden Sheffield|Darcy Scott|Amber Miners|David A. Goldfarb,Hospital admissions for acute respiratory tract infections among infants from Nunavut and the burden of respiratory syncytial virus: a 10-year retrospective cohort study,https://doi.org/10.1016/j.lana.2025.101021,The Lancet Regional Health - Americas
Caio Felipe Araújo Matalani|Mateus Silva Santos Costa|Marcelo Ribeiro da Rocha|Roberto Iglesias Lopes|Thalita Bento Talizin|José de Bessa|William Carlos Nahas|Leopoldo Alves Ribeiro‐Filho|Caio Vinícius Suartz,Minimally invasive radical prostatectomy versus open radical prostatectomy: A systematic review and meta-analysis of randomized control trials,https://doi.org/10.1016/j.clinsp.2025.100636,Clinics
Florence Morriello|Jade Quirion|Homun Yee|Rashmi Narendrula,Empowering senior medical residents as resuscitation team leaders,https://doi.org/10.1186/s12909-025-07240-5,BMC Medical Education
Shaleesa Ledlie|Alice Holton|Pamela Leece|Bisola Hamzat|Joanna C. Yang|Gillian Kolla|Nikki Bozinoff|R. E. BOYD|Mike Franklyn|Ashley Smoke|Paul J. Newcombe|Tara Gomes,"The changing role of substances: trends, characteristics of individuals and prior healthcare utilization among individuals with accidental substance-related toxicity deaths in Ontario Canada",https://doi.org/10.1371/journal.pone.0324732,PLoS ONE
Neha Pathak|Massimo Di Iorio|Diego Malon Gimenez|Yael Berner-Wygoda|Jacqueline Savill|Amal Aljuhani|Abhenil Mittal|Vikaash Kumar|Eitan Amir,Adverse effect of trastuzumab deruxtecan in solid tumours: A systematic review and meta-analysis,https://doi.org/10.1016/j.critrevonc.2025.104787,Critical Reviews in Oncology/Hematology
Alice Holton|Bisola Hamzat|Daniel McCormack|Sacha Bragg|Bernadette deGonzague|Graham Mecredy|Tonya Campbell|Tony Antoniou|Lorrilee McGregor|Jonathan Bertram|Tara Gomes,Retention in Opioid Agonist Therapy Among First Nations People,https://doi.org/10.1001/jamanetworkopen.2025.18452,JAMA Network Open
Chris P. Verschoor|Joshua O. Cerasuolo|Joseph M. Caswell|Mark Tatangelo|Atilio Costa‐Vitali|David W. Savage|Jeffrey Kwong,Respiratory Syncytial Virus (<scp>RSV</scp>)‐Related Hospitalization and Increased Rate of Cardiovascular Events in Older Adults,https://doi.org/10.1111/jgs.19591,Journal of the American Geriatrics Society
Daniele Castellani|Steffi Kar-Kei Yuen|Carlo Giulioni|Khi Yung Fong|Steeve Doizi|Stefano Moretto|Marek Zawadzki|Yiloren Tanidir|Mehmet Ilker Gökce|Abhay Mahajan|Dmitriy Sytnik|Abdulrahman Alkandari|Benedikt Becker|Cemil Aydin|Nebil Akdogan|Ender Cem Bulut|Sumit More|Vincent De Coninck|Abai Xu|Nariman Gadzhiev|Vigen Malkhasyan|Karl Tan|Yong Wei Lim|Mahmoud Nabil Ismail Laymon|Giorgio Mazzon|Biligere Priyadarshi Sarvajit|Mallikarjuna Chiruvella|Dmitry Enikeev|Bhaskar Somani|Omar AbdelAziz|Thomas Herrmann|Vineet Gauhar,"To stop or not to stop. Endoscopic enucleation of the prostate in patients on blood thinners: outcomes, a real-life prospective multicenter study of 932 cases",https://doi.org/10.1007/s00345-025-06072-8,World Journal of Urology
M. Hossein Nowroozzadeh|Mansooreh Bagheri,The role of optical coherence tomography angiography in assessing diabetic choroidopathy: a systematic review,https://doi.org/10.1186/s40942-024-00618-5,International Journal of Retina and Vitreous
Ioannis A. Voutsadakis,Genomic alterations in the WNT/β-catenin pathway and resistance of colorectal cancer cells to pathway-targeting therapies,https://doi.org/10.37349/etat.2025.1002295,Exploration of Targeted Anti-tumor Therapy
Lara A. Pilutti|Stephanie L. Silveira|Matthew P. Herring|Brenda Jeng|Thomas H. Edwards|Katie L.J. Cederberg|Karine Fournier|Robert W. Motl,Multiple sclerosis is associated with worse body composition across compartments: Results from a systematic review and meta-analysis,https://doi.org/10.1016/j.msard.2025.106553,Multiple Sclerosis and Related Disorders
Jacqueline H. Fortier|Mehrnaz Mostafapour|Robert Ohle|Kate Barbosa|Richard Liu|Ming Hao Guo|Gary Garber|Heather Murray,Aortic dissection in the ED: a medico-legal perspective on diagnostic delays and failures,https://doi.org/10.1007/s43678-025-00999-y,Canadian Journal of Emergency Medicine
Elmira Ebrahimi|Apiwat Sangphukieo|Hanla A. Park|Valérie Gaborieau|Aida Ferreiro-Iglesias|Brenda Diergaarde|Wolfgang Ahrens|Laia Alemany|Lidia MRB Arantes|Jaroslav Betka|Scott V. Bratman|Cristina Canova|Michael Conlon|David I. Conway|Mauricio Cuello|María Paula Curado|Ana Carolina de Carvalho|Jose Carlos de Oliviera|Mark Gormley|Maryam Hadji|Sarah Hargreaves|Claire M. Healy|Ivana Holcátová|Rayjean J. Hung|Luis P. Kowalski|Παγώνα Λάγιου|Areti Lagiou|Geoffrey Liu|Gary J. Macfarlane|Andrew F. Olshan|Sandra Pérdomo|Luís Pinto|Jose Roberto V. Podesta|Jerry Polesel|Miranda Pring|Hamideh Rashidian|Ricardo Ribeiro Gama|Lorenzo Richiardi|Max Robinson|Paula A. Rodríguez‐Urrego|Stacey A. Santi|Deborah Saunders|Sheila Coelho Soares‐Lima|Nicholas J. Timpson|Marta Vilensky|Sandra Ventorin von Zeidler|Tim Waterboer|Kazem Zendehdel|Ariana Znaor|Paul Brennan|Ana Carolina de Carvalho|Jose Carlos de Oliviera|Luís Fernando Batista Pinto|Nicholas J. Timpson|Sandra Ventorin von Zeidler|Rodney D. Adam|Antonio Agudo|S. Alibhai|Shaymaa AlWaheidi|Miguel Ángel Pavón|Namrah Anwar|Paola Engelmann Arantes|L Argüello|Yubelly Avello|Lucas Avondet|A.M. Baldión-Elorza|Camila Batista Daniel|Bianca Beraldi|Barbara Berenstein|Patricia Bernal|Nilton Barnabé Rodrigues|Jörg Zimmermann|Marco Botta|Lourine Bouvard|Jesús Brenes|Nicole Brenner|Carol Brentisci|Catalina Burtica|María Lavín Cabanas|Erick Cantor|Raiany Santos Carvalho|André Lopes Carvalho|Luigi Chiusa|Priscilia Chopard|Qurratulain Chundriger|Omar Clavero|Isabela Costa|Grant Creaney|Cecilia Cuffini|Tauana Christina Dias|Evandro Duccini Souza|Laís Corsino Durant|Alberto Escallón|Gisele Aparecida Fernandes|Béatrice Fervers|Valentina Fiano|Frederico Firme Figueira|Regina Furbino Villefort|Manuela Gangemi|Paolo Garzino‐Demo,Cross-ancestral GWAS identifies 29 variants across head and neck cancer subsites,https://doi.org/10.1038/s41467-025-63842-z,Nature Communications
Ankur Wadhwa|Ravinder‐Jeet Singh|Mohammed Almekhlafi|Bijoy K. Menon|Poornima Narayanan Nambiar|Arun Kathuveetil|Santhosh Kumar Kannath|Manik Chhabra|PN Sylaja|Andrew M. Demchuk|Simerpreet Bal,Derivation of a CT Angiography-Based Arch Atherosclerosis Grading in Cryptogenic Ischemic Stroke,https://doi.org/10.4103/aian.aian_996_24,Annals of Indian Academy of Neurology
Cynthia L Larche|Maxwell Kennel|Sean Tackett|David C. Marsh|Erin Cameron,Enhancing Social Accountability in Medical Education and Accreditation: A Meeting Report,https://doi.org/10.2147/amep.s508928,Advances in Medical Education and Practice
Ilianna Galli-Vareia|Petr Szturz|Ioannis A. Voutsadakis|Nicolas Villard|Georgia Tsoumakidou|Mapi Fleury|Gabriela Herrera|François Fasquelle|Sébastien Godat|Antonia Digklia,Efficacy of 2 different fibroblast growth factor receptor-inhibitors in a patient with extrahepatic cholangiocarcinoma harboring an FGFR2 mutation: a case report,https://doi.org/10.1093/oncolo/oyae294,The Oncologist
Hafsa Siddiqui|Gillian Nearing|Sophie M. Regalado|Kerri Z. Delaney|Erin Cameron,A Scoping Review of Obesity Educational Interventions in Undergraduate and Postgraduate Medical Education,https://doi.org/10.1111/obr.13938,Obesity Reviews
Iain R. Lamb|Nicole A. Dumonski|Heidi Corneil|Chandelle C. M. Mensour|Eliseo Orrantia,Understanding the maternity care desert: A qualitative study on factors contributing to the closure of obstetrical programmes in rural northern Ontario,https://doi.org/10.4103/cjrm.cjrm_49_24,Canadian Journal of Rural Medicine
